day,buzz,positive_buzz,negative_buzz,quality,postive_quality,negative_quality,impression,positive_impression,negative_impression,value,positive_value,negative_value,reputation,positive_reputation,negative_reputation,satisfaction,positive_satisfaction,negative_satisfaction,recommend,positive_recommend,negative_recommend,awareness,attention,ad_awareness,wom_exposure,consideration,purchase_intent
2017-07-24,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403,603.595403
2017-07-25,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111,578.000111
2017-07-26,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885,572.998885
2017-07-27,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878,560.763878
2017-07-28,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366,560.822366
2017-07-29,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274,563.024274
2017-07-30,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367,558.70367
2017-07-31,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434,551.678434
2017-08-01,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514,556.717514
2017-08-02,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582,560.003582
