Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Tracked Revenue,Spend
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-01-25,0.0,6148.33
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-01-25,0.0,1990.6444000000001
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-01-25,0.0,56.45150000000001
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-01-25,0.0,1537.0825
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-02-01,0.0,4495.530000000001
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-02-01,0.0,1420.471
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-02-01,0.0,60.33999999999999
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-02-01,0.0,1123.8825000000002
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-02-08,0.0,4816.3
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-02-08,0.0,1568.5972
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-02-08,0.0,60.33999999999999
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-02-08,0.0,1204.075
ClientBrand,Affiliates,Tenancy,Unclassified,EXCLUDING,CTC,2016-02-08,0.0,70.0
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-02-15,0.0,5784.91
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-02-15,0.0,1895.654
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-02-15,0.0,60.33999999999999
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-02-15,0.0,1446.2275
ClientBrand,Affiliates,Tenancy,Unclassified,EXCLUDING,CTC,2016-02-15,0.0,236.64
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-02-22,0.0,6104.47
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-02-22,0.0,1784.4842000000003
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-02-22,0.0,60.33999999999999
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-02-22,0.0,1526.1175
ClientBrand,Affiliates,Tenancy,Unclassified,EXCLUDING,CTC,2016-02-22,0.0,301.62
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-02-29,0.0,5286.24
ClientBrand,Affiliates,Agency Commission,Unclassified,EXCLUDING,CTC,2016-02-29,0.0,1613.515
ClientBrand,Affiliates,Agency Tools,Unclassified,EXCLUDING,CTC,2016-02-29,0.0,57.00700000000001
ClientBrand,Affiliates,Network Override,Unclassified,EXCLUDING,CTC,2016-02-29,0.0,1321.56
ClientBrand,Affiliates,Tenancy,Unclassified,EXCLUDING,CTC,2016-02-29,0.0,41.66
ClientBrand,Affiliates,Affiliate Commission,Unclassified,EXCLUDING,CTC,2016-03-07,0.0,4957.82
