Brand,Media L1,Media L2,Message,Objective,Cost Type,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-10-05,862590,4187,12238.742768199996,
ClientBrand,Paid Social,Pinterest,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-10-05,145734,82,996.160191,
ClientBrand,Paid Social,Meta,Unclassified,Conversions,Platform and Fees,EXCLUDING,CTC,2020-10-12,181877,1889,954.1215264,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-10-12,1460903,37278,5503.8747112,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-10-12,1929108,4720,16514.386618,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-10-19,459482,1514,2456.9339274000004,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-10-19,1922615,4549,16910.248371399997,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-10-19,1006373,780,3040.50731,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-10-26,385650,526,1376.305516,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-10-26,917436,22874,3981.6594731999994,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-10-26,851249,3085,12406.927476,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-10-26,0,0,0.0,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-11-02,3049472,66478,10103.363112999998,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-02,898522,1506,6115.275352799999,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-02,0,0,0.0,
ClientBrand,Paid Social,Meta,Unclassified,Conversions,Platform and Fees,EXCLUDING,CTC,2020-11-09,176127,1231,1013.4454598000001,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-09,2143308,2527,10496.1940842,
ClientBrand,Paid Social,Pinterest,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-09,18,0,0.00162,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-11-16,447067,1136,2455.222388,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-11-16,1165175,26259,5464.8279852,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-16,287947,913,5076.461871799999,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-16,1725406,1120,5071.5795314,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-11-23,3178753,32503,14405.6154394,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-23,614970,860,1780.2879428,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-23,479839,548,1508.32511,
ClientBrand,Paid Social,Meta,Unclassified,Engagement,Platform and Fees,EXCLUDING,CTC,2020-11-30,417303,298,2463.8082207999996,
ClientBrand,Paid Social,Meta,Unclassified,Reach,Platform and Fees,EXCLUDING,CTC,2020-11-30,3559070,1518,6975.7929014,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-30,0,0,0.0,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-11-30,383618,8570,1142.6255146,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-11-30,390418,329,1510.0387217999998,
ClientBrand,Paid Social,Meta,Unclassified,Conversions,Platform and Fees,EXCLUDING,CTC,2020-12-07,236590,2334,1235.6863494000002,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-12-07,1616857,26126,9640.2386064,
ClientBrand,Paid Social,Pinterest,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-12-07,420025,9009,1147.4640032,
ClientBrand,Paid Social,Pinterest,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-12-07,142599,92,995.894041,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-12-07,657677,424,2583.1017144728003,
ClientBrand,Paid Social,Meta,Unclassified,Traffic,Platform and Fees,EXCLUDING,CTC,2020-12-14,2864597,57766,12485.306674399999,
ClientBrand,Paid Social,Meta,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-12-14,675533,1089,2999.1830790000004,
ClientBrand,Paid Social,Twitter,Unclassified,Pre-roll views,Platform and Fees,EXCLUDING,CTC,2020-12-14,583948,51,5986.328483800001,
ClientBrand,Paid Social,Twitter,Unclassified,Video Views,Platform and Fees,EXCLUDING,CTC,2020-12-14,891733,409,2046.6070044415399,
ClientBrand,Paid Social,Meta,Unclassified,Engagement,Platform and Fees,EXCLUDING,CTC,2020-12-21,472590,211,2616.8006586,
