Brand,Media L1,Media L2,Further TV Detail,Message,TVR Definition,Confirm VAT,Confirm CTC,wc Mon,Spend,TVRs,Comment
ClientBrand,TV Sponsorship,July13Oct4,13th July to 4th Oct ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-09-28,31708.3333333,90.0,
ClientBrand,TV Sponsorship,Lifetime,Lifetime,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-11-27,Free of charge,2.6,
ClientBrand,TV Sponsorship,Lifetime,Lifetime,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-04,Free of charge,4.0,
ClientBrand,TV Sponsorship,Lifetime,Lifetime,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-11,Free of charge,4.3999999999999995,
ClientBrand,TV Sponsorship,Lifetime,Lifetime,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-18,Free of charge,5.0,
ClientBrand,TV Sponsorship,Lifetime,Lifetime,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-25,Free of charge,3.4000000000000004,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-06-01,19250.8,16.6,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-06-08,19250.8,10.0,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-06-15,19250.8,8.8,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-06-22,19250.8,9.6,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-06-29,19250.8,0.0,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-06,19250.8,7.5,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-13,19250.8,7.6,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-20,19250.8,10.2,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-27,19250.8,8.3,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-03,19250.8,5.3,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-10,19250.8,7.3,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-17,19250.8,7.9,
ClientBrand,TV Sponsorship,MaskedSinger,Masked Singer ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-24,19250.8,11.9,
ClientBrand,TV Sponsorship,,Unknown Broadcaster,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2011-12-12,27500,0.0,
ClientBrand,TV Sponsorship,,Unknown Broadcaster,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2011-12-19,68000,0.0,
ClientBrand,TV Sponsorship,,Unknown Broadcaster,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2011-12-26,68000,0.0,
ClientBrand,TV Sponsorship,,Unknown Broadcaster,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-01-02,25000,0.0,
ClientBrand,TV Sponsorship,,Unknown Broadcaster,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-01-09,25500,0.0,
ClientBrand,TV Sponsorship,,Unknown Broadcaster,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-06-04,7000,0.0,
ClientBrand,TV Sponsorship,,Unknown Broadcaster,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-06-11,7000,0.0,
ClientBrand,TV Sponsorship,,Unknown Broadcaster,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-06-18,7000,0.0,
ClientBrand,TV Sponsorship,,Unknown Broadcaster,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2012-06-25,7000,0.0,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-06-15,3059.26846,0.3,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-06-22,3059.26846,0.3,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-06-29,3059.26846,0.1,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-06,3059.26846,0.2,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-13,3059.26846,0.1,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-20,3059.26846,0.4,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-07-27,3059.26846,0.5,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-03,3059.26846,0.2,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-10,3059.26846,0.0,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-17,3059.26846,0.2,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-24,3059.26846,0.4,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-08-31,3059.26846,0.4,
ClientBrand,TV Sponsorship,PGA,PGA HIGHLIGHTS ,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2020-09-07,3059.26846,0.3,
ClientBrand,TV Sponsorship,Pick,Pick,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-11-27,Free of charge,43.5,
ClientBrand,TV Sponsorship,Pick,Pick,Brand,All Adult 30s Equiv,EXCLUDING,CTC,2017-12-04,Free of charge,85.3,
