Brand,Media L1,Media L2,Message,Confirm VAT,Confirm CTC,wc Mon,Impressions,Spend,Comment
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-02-12,656646,10466.44899652514,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-02-19,654873,10466.44899652514,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-03-19,1163253,29441.195990225526,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-03-26,1849174,44174.55898533405,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-04-23,1278213,31115.9639896695,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-04-30,1159464,28717.845990465677,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-05-07,503328,10211.999996609617,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-05-14,436968,10211.999996609617,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-05-21,621889,14041.499995338223,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-05-28,588615,14041.499995338223,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-06-04,251079,5366.4059982183535,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-06-11,175321,4025.229998663624,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-06-18,650518,14758.892995100048,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-06-25,500841,10734.513996436142,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-08-13,584156,11144.69599629996,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-08-20,897922,19581.50999349894,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-09-10,551118,12407.579995880684,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-09-17,608835,12407.579995880684,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2018-10-08,150077.5991024682,1701.9999994349362,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-10-08,459076,10868.120996391785,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2018-10-22,166666.34154876502,2552.999999152404,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-10-22,719606,18309.264993921326,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-11-12,466358,10637.49999646835,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-12-10,1052717,39450.657986902384,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-12-17,2094944,53240.261982324235,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2018-12-24,388763,5456.611998188405,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-12-24,2382304,56017.92598140205,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2018-12-31,238524,4489.024998509644,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2018-12-31,1056696,46545.85,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2019-01-07,220296.41969375458,4095.862998640174,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-01-07,1466953,22810.9,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2019-01-14,220536.80000000002,4095.862998640174,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-01-14,1473966,23712.32,
ClientBrand,VOD,AOD,Unclassified,EXCLUDING,CTC,2019-01-21,232773.4727061085,4099.266998639044,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-01-21,1712498,38856.33,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-02-04,1446531,22745.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-02-18,1361387,35986.22,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-02-25,150768,2165.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-03-04,334603,3577.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-03-11,339865,3543.0,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-03-18,2569318,40187.79,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-04-08,706165,31256.2,
ClientBrand,VOD,BVOD,Unclassified,EXCLUDING,CTC,2019-04-15,2931954,40537.46,
