Brand,Media L1,Media L2,Message,Device,Confirm VAT,Confirm CTC,wc Mon,Impressions,Clicks,Spend,Comment
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-04,637818,1482,193.05, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-04,176270,160,273.533972, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-04,1197687,80,6347.604984065026, InMobi - costs are prorata'ed according to delivered impressions
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-11,571147,2713,385.12, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-11,837575,886,2278.223935, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-11,1163799,45,6168.002435402482, InMobi - costs are prorata'ed according to delivered impressions
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-11,1582882,5669,7478.417329379675," Dreams Easter ""TV Syncing"" campaign. Weekly costs are derived by pro-rata impressions"
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-18,88990,482,103.33, GDN
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-18,309809,342,668.328294, DBM (data is w/c Sun)
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-18,1076351,24,5704.537973780607, InMobi - costs are prorata'ed according to delivered impressions
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-18,2498305,35231,11803.386105897906," Dreams Easter ""TV Syncing"" campaign. Weekly costs are derived by pro-rata impressions"
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-25,926262,15,4909.083331246008, InMobi - costs are prorata'ed according to delivered impressions
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-04-25,2405042,22847,11362.759681824642," Dreams Easter ""TV Syncing"" campaign. Weekly costs are derived by pro-rata impressions"
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-05-02,91084,10,482.73484839409525, InMobi - costs are prorata'ed according to delivered impressions
ClientBrand,Digital Display,,Unclassified,Unknown,EXCLUDING,CTC,2016-05-02,78830,223,372.4368828977774," Dreams Easter ""TV Syncing"" campaign. Weekly costs are derived by pro-rata impressions"
ClientBrand,Digital Display,HPTO,Unclassified,Unknown,EXCLUDING,CTC,2017-01-09,240584,Missing Data,Free Of Charge,HPTO Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-01-09,75028,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-01-09,395908,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-01-16,75029,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-01-16,395909,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-01-23,75028,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-01-23,395909,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-01-30,75029,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-01-30,395909,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,HPTO,Unclassified,Unknown,EXCLUDING,CTC,2017-02-06,119774,Missing Data,Free Of Charge,HPTO Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-02-06,159488,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-02-06,439330,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,HPTO,Unclassified,Unknown,EXCLUDING,CTC,2017-02-13,119775,Missing Data,Free Of Charge,HPTO Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-02-13,39872,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-02-13,109833,Missing Data,Free Of Charge, Free of charge
ClientBrand,Digital Display,HPTO,Unclassified,Unknown,EXCLUDING,CTC,2017-03-20,107382,Missing Data,Free Of Charge,HPTO Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Mobile,EXCLUDING,CTC,2017-03-20,179633,Missing Data,Free Of Charge,Mobile Digital Free of charge
ClientBrand,Digital Display,Prospecting,Unclassified,Unknown,EXCLUDING,CTC,2017-03-20,393012,Missing Data,Free Of Charge, Free of charge
